candidate_n,smaller_target,branch,exclusion_reason
2,1,E,even_start_maps_below_self
4,2,E,even_start_maps_below_self
6,2,E,even_start_maps_below_self
7,4,OE,oe_two_step_below_start
8,2,E,even_start_maps_below_self
10,3,E,even_start_maps_below_self
11,6,OE,oe_two_step_below_start
12,3,E,even_start_maps_below_self
13,6,OE,oe_two_step_below_start
14,3,E,even_start_maps_below_self
15,7,OE,oe_two_step_below_start
16,4,E,even_start_maps_below_self
17,8,OE,oe_two_step_below_start
18,4,E,even_start_maps_below_self
19,9,OE,oe_two_step_below_start
20,4,E,even_start_maps_below_self
21,9,OE,oe_two_step_below_start
22,4,E,even_start_maps_below_self
23,10,OE,oe_two_step_below_start
24,4,E,even_start_maps_below_self
26,5,E,even_start_maps_below_self
27,11,OE,oe_two_step_below_start
28,5,E,even_start_maps_below_self
29,12,OE,oe_two_step_below_start
30,5,E,even_start_maps_below_self
31,13,OE,oe_two_step_below_start
32,5,E,even_start_maps_below_self
34,5,E,even_start_maps_below_self
36,6,E,even_start_maps_below_self
38,6,E,even_start_maps_below_self
40,6,E,even_start_maps_below_self
41,16,OE,oe_two_step_below_start
42,6,E,even_start_maps_below_self
44,6,E,even_start_maps_below_self
46,6,E,even_start_maps_below_self
47,17,OE,oe_two_step_below_start
48,6,E,even_start_maps_below_self
50,7,E,even_start_maps_below_self
51,19,OE,oe_two_step_below_start
52,7,E,even_start_maps_below_self
54,7,E,even_start_maps_below_self
56,7,E,even_start_maps_below_self
57,20,OE,oe_two_step_below_start
58,7,E,even_start_maps_below_self
60,7,E,even_start_maps_below_self
61,21,OE,oe_two_step_below_start
62,7,E,even_start_maps_below_self
63,22,OE,oe_two_step_below_start
64,8,E,even_start_maps_below_self
65,22,OE,oe_two_step_below_start
66,8,E,even_start_maps_below_self
67,23,OE,oe_two_step_below_start
68,8,E,even_start_maps_below_self
70,8,E,even_start_maps_below_self
71,24,OE,oe_two_step_below_start
72,8,E,even_start_maps_below_self
74,8,E,even_start_maps_below_self
76,8,E,even_start_maps_below_self
78,8,E,even_start_maps_below_self
79,26,OE,oe_two_step_below_start
80,8,E,even_start_maps_below_self
82,9,E,even_start_maps_below_self
83,27,OE,oe_two_step_below_start
84,9,E,even_start_maps_below_self
86,9,E,even_start_maps_below_self
88,9,E,even_start_maps_below_self
90,9,E,even_start_maps_below_self
91,29,OE,oe_two_step_below_start
92,9,E,even_start_maps_below_self
93,29,OE,oe_two_step_below_start
94,9,E,even_start_maps_below_self
96,9,E,even_start_maps_below_self
98,9,E,even_start_maps_below_self
100,10,E,even_start_maps_below_self
102,10,E,even_start_maps_below_self
104,10,E,even_start_maps_below_self
106,10,E,even_start_maps_below_self
107,33,OE,oe_two_step_below_start
108,10,E,even_start_maps_below_self
110,10,E,even_start_maps_below_self
112,10,E,even_start_maps_below_self
114,10,E,even_start_maps_below_self
116,10,E,even_start_maps_below_self
118,10,E,even_start_maps_below_self
119,36,OE,oe_two_step_below_start
120,10,E,even_start_maps_below_self
122,11,E,even_start_maps_below_self
123,36,OE,oe_two_step_below_start
124,11,E,even_start_maps_below_self
126,11,E,even_start_maps_below_self
128,11,E,even_start_maps_below_self
130,11,E,even_start_maps_below_self
132,11,E,even_start_maps_below_self
134,11,E,even_start_maps_below_self
135,39,OE,oe_two_step_below_start
136,11,E,even_start_maps_below_self
138,11,E,even_start_maps_below_self
139,40,OE,oe_two_step_below_start
140,11,E,even_start_maps_below_self
141,40,OE,oe_two_step_below_start
142,11,E,even_start_maps_below_self
143,41,OE,oe_two_step_below_start
144,12,E,even_start_maps_below_self
145,41,OE,oe_two_step_below_start
146,12,E,even_start_maps_below_self
147,42,OE,oe_two_step_below_start
148,12,E,even_start_maps_below_self
149,42,OE,oe_two_step_below_start
150,12,E,even_start_maps_below_self
152,12,E,even_start_maps_below_self
153,43,OE,oe_two_step_below_start
154,12,E,even_start_maps_below_self
156,12,E,even_start_maps_below_self
158,12,E,even_start_maps_below_self
159,44,OE,oe_two_step_below_start
160,12,E,even_start_maps_below_self
161,45,OE,oe_two_step_below_start
162,12,E,even_start_maps_below_self
164,12,E,even_start_maps_below_self
166,12,E,even_start_maps_below_self
167,46,OE,oe_two_step_below_start
168,12,E,even_start_maps_below_self
170,13,E,even_start_maps_below_self
171,47,OE,oe_two_step_below_start
172,13,E,even_start_maps_below_self
174,13,E,even_start_maps_below_self
176,13,E,even_start_maps_below_self
177,48,OE,oe_two_step_below_start
178,13,E,even_start_maps_below_self
179,48,OE,oe_two_step_below_start
180,13,E,even_start_maps_below_self
182,13,E,even_start_maps_below_self
184,13,E,even_start_maps_below_self
185,50,OE,oe_two_step_below_start
186,13,E,even_start_maps_below_self
188,13,E,even_start_maps_below_self
189,50,OE,oe_two_step_below_start
190,13,E,even_start_maps_below_self
192,13,E,even_start_maps_below_self
194,13,E,even_start_maps_below_self
196,14,E,even_start_maps_below_self
198,14,E,even_start_maps_below_self
200,14,E,even_start_maps_below_self
